,Organisation Description,quarter,Calendar Quarter Name,Table Value,Calendar quarter first month name,Calendar quarter last month name,year
95,Mid & South West - Aged AMHS,1,Jan - Mar 2021,1631.93,Jan,Mar,2021
96,Mid & South West - Aged AMHS,2,Apr - Jun 2021,1634.14,Apr,Jun,2021
97,Mid West - Adult AMHS,2,Apr - Jun 2020,10358.79,Apr,Jun,2020
98,Mid West - Adult AMHS,3,Jul - Sep 2020,10401.56,Jul,Sep,2020
99,Mid West - Adult AMHS,4,Oct - Dec 2020,6802.17,Oct,Dec,2020
100,Mid West - Adult AMHS,1,Jan - Mar 2021,3112.02,Jan,Mar,2021
101,Mid West - Adult AMHS,2,Apr - Jun 2021,2180.4,Apr,Jun,2021
102,Middle South - Adult AMHS,2,Apr - Jun 2020,8974.98,Apr,Jun,2020
103,Middle South - Adult AMHS,3,Jul - Sep 2020,9493.86,Jul,Sep,2020
104,Middle South - Adult AMHS,4,Oct - Dec 2020,9953.71,Oct,Dec,2020
105,Middle South - Adult AMHS,1,Jan - Mar 2021,9063.83,Jan,Mar,2021
106,Middle South - Adult AMHS,2,Apr - Jun 2021,9387.48,Apr,Jun,2021
107,Middle South - Aged AMHS,2,Apr - Jun 2020,5887.27,Apr,Jun,2020
108,Middle South - Aged AMHS,3,Jul - Sep 2020,6119.55,Jul,Sep,2020
109,Middle South - Aged AMHS,4,Oct - Dec 2020,5820.82,Oct,Dec,2020
110,Middle South - Aged AMHS,1,Jan - Mar 2021,5610.93,Jan,Mar,2021
111,Middle South - Aged AMHS,2,Apr - Jun 2021,5546.39,Apr,Jun,2021
112,North East - Adult AMHS,2,Apr - Jun 2020,7219.83,Apr,Jun,2020
113,North East - Adult AMHS,3,Jul - Sep 2020,8197.89,Jul,Sep,2020
114,North East - Adult AMHS,4,Oct - Dec 2020,8126.12,Oct,Dec,2020
115,North East - Adult AMHS,1,Jan - Mar 2021,5658.01,Jan,Mar,2021
116,North East - Adult AMHS,2,Apr - Jun 2021,6073.9,Apr,Jun,2021
117,North East and Border AMHS,2,Apr - Jun 2020,8122.03,Apr,Jun,2020
118,North East and Border AMHS,3,Jul - Sep 2020,10366.72,Jul,Sep,2020
119,North East and Border AMHS,4,Oct - Dec 2020,9637.22,Oct,Dec,2020
120,North East and Border AMHS,1,Jan - Mar 2021,9237.78,Jan,Mar,2021
121,North East and Border AMHS,2,Apr - Jun 2021,8876.79,Apr,Jun,2021
122,North Eastern - CAMHS AMHS,2,Apr - Jun 2020,4881.77,Apr,Jun,2020
123,North Eastern - CAMHS AMHS,3,Jul - Sep 2020,5293.75,Jul,Sep,2020
124,North Eastern - CAMHS AMHS,4,Oct - Dec 2020,5156.25,Oct,Dec,2020
125,North Eastern - CAMHS AMHS,1,Jan - Mar 2021,4780.69,Jan,Mar,2021
126,North Eastern - CAMHS AMHS,2,Apr - Jun 2021,4571.92,Apr,Jun,2021
127,North West - Adult AMHS,2,Apr - Jun 2020,10832.84,Apr,Jun,2020
128,North West - Adult AMHS,3,Jul - Sep 2020,12509.35,Jul,Sep,2020
129,North West - Adult AMHS,4,Oct - Dec 2020,11234.59,Oct,Dec,2020
130,North West - Adult AMHS,1,Jan - Mar 2021,9574.02,Jan,Mar,2021
131,North West - Adult AMHS,2,Apr - Jun 2021,9618.54,Apr,Jun,2021
132,North Western - CAMHS AMHS,2,Apr - Jun 2020,7684.72,Apr,Jun,2020
133,North Western - CAMHS AMHS,3,Jul - Sep 2020,9112.54,Jul,Sep,2020
134,North Western - CAMHS AMHS,4,Oct - Dec 2020,8862.34,Oct,Dec,2020
135,North Western - CAMHS AMHS,1,Jan - Mar 2021,8357.44,Jan,Mar,2021
136,North Western - CAMHS AMHS,2,Apr - Jun 2021,9409.39,Apr,Jun,2021
137,Northern - Adult AMHS,2,Apr - Jun 2020,17581.47,Apr,Jun,2020
138,Northern - Adult AMHS,3,Jul - Sep 2020,19037.96,Jul,Sep,2020
139,Northern - Adult AMHS,4,Oct - Dec 2020,15664.62,Oct,Dec,2020
140,Northern - Adult AMHS,1,Jan - Mar 2021,9455.03,Jan,Mar,2021
141,Northern - Adult AMHS,2,Apr - Jun 2021,7680.3,Apr,Jun,2021
142,Northern & North East - Aged AMHS,2,Apr - Jun 2020,2001.78,Apr,Jun,2020
143,Northern & North East - Aged AMHS,3,Jul - Sep 2020,1946.78,Jul,Sep,2020
144,Northern & North East - Aged AMHS,4,Oct - Dec 2020,1634.45,Oct,Dec,2020
145,Northern & North East - Aged AMHS,1,Jan - Mar 2021,1056.38,Jan,Mar,2021
146,Northern & North East - Aged AMHS,2,Apr - Jun 2021,995.18,Apr,Jun,2021
147,Northern Mallee - AMHS,2,Apr - Jun 2020,6973.14,Apr,Jun,2020
148,Northern Mallee - AMHS,3,Jul - Sep 2020,7163.22,Jul,Sep,2020
149,Northern Mallee - AMHS,4,Oct - Dec 2020,7203.4,Oct,Dec,2020
150,Northern Mallee - AMHS,1,Jan - Mar 2021,7048.3,Jan,Mar,2021
151,Northern Mallee - AMHS,2,Apr - Jun 2021,6117.39,Apr,Jun,2021
152,Orygen Youth Area Mental Health Service,2,Apr - Jun 2020,12513.01,Apr,Jun,2020
153,Orygen Youth Area Mental Health Service,3,Jul - Sep 2020,12278.95,Jul,Sep,2020
154,Orygen Youth Area Mental Health Service,4,Oct - Dec 2020,9950.68,Oct,Dec,2020
155,Orygen Youth Area Mental Health Service,1,Jan - Mar 2021,8558.5,Jan,Mar,2021
156,Orygen Youth Area Mental Health Service,2,Apr - Jun 2021,9332.12,Apr,Jun,2021
157,Outer East - Adult AMHS,2,Apr - Jun 2020,20664.63,Apr,Jun,2020
158,Outer East - Adult AMHS,3,Jul - Sep 2020,22145.22,Jul,Sep,2020
159,Outer East - Adult AMHS,4,Oct - Dec 2020,18820.45,Oct,Dec,2020
160,Outer East - Adult AMHS,1,Jan - Mar 2021,13371.64,Jan,Mar,2021
161,Outer East - Adult AMHS,2,Apr - Jun 2021,13095.83,Apr,Jun,2021
162,Peninsula - Adult AMHS,2,Apr - Jun 2020,9451.64,Apr,Jun,2020
163,Peninsula - Adult AMHS,3,Jul - Sep 2020,10024.26,Jul,Sep,2020
164,Peninsula - Adult AMHS,4,Oct - Dec 2020,10681.29,Oct,Dec,2020
165,Peninsula - Adult AMHS,1,Jan - Mar 2021,10084.08,Jan,Mar,2021
166,Peninsula - Adult AMHS,2,Apr - Jun 2021,9623.56,Apr,Jun,2021
167,Peninsula - Aged AMHS,2,Apr - Jun 2020,1951.65,Apr,Jun,2020
168,Peninsula - Aged AMHS,3,Jul - Sep 2020,2012.1,Jul,Sep,2020
169,Peninsula - Aged AMHS,4,Oct - Dec 2020,2293.38,Oct,Dec,2020
170,Peninsula - Aged AMHS,1,Jan - Mar 2021,2318.45,Jan,Mar,2021
171,Peninsula - Aged AMHS,2,Apr - Jun 2021,2378.6,Apr,Jun,2021
172,South Eastern - CAMHS AMHS,2,Apr - Jun 2020,11821.3,Apr,Jun,2020
173,South Eastern - CAMHS AMHS,3,Jul - Sep 2020,14167.0,Jul,Sep,2020
174,South Eastern - CAMHS AMHS,4,Oct - Dec 2020,12793.61,Oct,Dec,2020
175,South Eastern - CAMHS AMHS,1,Jan - Mar 2021,11218.18,Jan,Mar,2021
176,South Eastern - CAMHS AMHS,2,Apr - Jun 2021,13252.15,Apr,Jun,2021
177,South West - Adult AMHS,2,Apr - Jun 2020,20436.07,Apr,Jun,2020
178,South West - Adult AMHS,3,Jul - Sep 2020,19082.38,Jul,Sep,2020
179,South West - Adult AMHS,4,Oct - Dec 2020,14972.44,Oct,Dec,2020
180,South West - Adult AMHS,1,Jan - Mar 2021,10880.52,Jan,Mar,2021
181,South West - Adult AMHS,2,Apr - Jun 2021,8437.6,Apr,Jun,2021
182,Statewide,2,Apr - Jun 2020,366950.14,Apr,Jun,2020
183,Statewide,3,Jul - Sep 2020,394248.76,Jul,Sep,2020
184,Statewide,4,Oct - Dec 2020,342787.3,Oct,Dec,2020
185,Statewide,1,Jan - Mar 2021,272103.44,Jan,Mar,2021
186,Statewide,2,Apr - Jun 2021,266772.75,Apr,Jun,2021
